,Company Name,Founded_in,Team_size,Location,Group Partner,Website Link,Active_founders
0,Alacrity,2024,2,San Francisco,Pete Koomen,http://www.joinalacrity.com,"Omar Draz, Anderthan Hsieh"
1,ParcelBio,2023,2,San Francisco,Surbhi Sarna,https://parcelbio.com/,"David Weinberg, Chris Carlson"
2,K-Scale Labs,2024,3,New York,Harj Taggar,https://kscale.dev/,"Benjamin Bolte, Pawel Budzianowski"
3,NaN,NaN,NaN,NaN,NaN,NaN,"NaN, NaN"
4,Marr Labs,2023,6,San Francisco,Gustaf Alstromer,https://www.marrlabs.com/,"Dave Grannan, Han Shu"
5,Forge Rewards,2023,2,San Francisco,Dalton Caldwell,https://www.forgerewards.com/,"Ethan Chang, Isaac Kan"
6,FanCave,2024,2,"Roeland Park, KS",Dalton Caldwell,https://www.fancave.me,"Luke Bogus, Nick Siscoe"
7,RetailReady,2024,3,,Jared Friedman,https://www.retailreadyai.com/,"Elle Smyth, Sarah Hamer"
8,Million,2023,3,San Francisco,Jared Friedman,https://million.dev,"Aiden Bai, Nisarg Patel"
9,NowHouse,2024,0,,Jared Friedman,https://www.nowhouse.io,"Dhaval Gajiwala, NaN"
10,Crux,2022,7,,Harj Taggar,http://getcrux.ai/,"Himank Jain, Atharva Padhye"
11,Reprompt,2024,2,San Francisco,Gustaf Alstromer,https://repromptai.com,"Lukas Martinelli, Rob Balian"
12,InspectMind AI,2023,2,San Francisco,Pete Koomen,https://www.inspectmind.ai,"Aakash Prasad, Shuangling Yin"
13,NaN,NaN,NaN,NaN,NaN,NaN,"NaN, NaN"
14,Blacksmith,2024,3,San Francisco,Jared Friedman,https://blacksmith.sh/,"Aditya Jayaprakash, Aditya Maru"
15,NaN,2024,3,NY,Jared Friedman,https://crowdvolt.com/,"Max Hammer, Josh Karol"
16,kater.ai,2023,2,San Francisco,Diana Hu,https://www.kater.ai,"Yvonne Chou, Robin Seitz"
17,MathGPTPro,2023,5,"Santa Clara, CA",Nicolas Dessaigne,https://info.mathgptpro.com/,"Tianwei Yue, Qi Lyu"
18,Quivr,2024,3,,Nicolas Dessaigne,https://www.quivr.app/,"Stan Girard, Antoine Dewez"
19,Dragoneye,2023,2,New York,Diana Hu,https://dragoneye.ai/,"Alex Liao, NaN"
20,renderlet,2024,1,New York,Jared Friedman,http://renderlet.com,"Sean Isom, NaN"
21,NaN,2024,2,San Francisco,Harj Taggar,https://fumedev.com,"Emre Gucer, Metehan Öz"
22,Numo,2023,3,San Francisco,Brad Flora,https://numohq.com,"Derrick Wolbert, Reuben Balik"
23,Forge,2023,2,San Francisco,Tom Blomfield,https://www.forgehq.com/,"Emir Sahmanovic, Haris Sahmanovic"
24,Taiki,2024,2,San Francisco,Gustaf Alstromer,https://www.taiki.ai,"Richard Zhang, Alan Lu"
25,Konstructly,2023,6,"London, United Kingdom",Brad Flora,https://konstructly.com/,"Stefan Vukcevic, John Hesler"
26,Pico,,2,,Jared Friedman,http://withpico.com,"Taylor Rogalski, Zach Gotsch"
27,Granza Bio,2023,2,San Francisco,Surbhi Sarna,https://www.granzabio.com/,"Ashwin Nandakumar, Ashwin Jainarayanan"
28,Haplotype Labs,2024,1,"Orinda, CA",Surbhi Sarna,https://www.haplotypelabs.com/,"Mike Polcari, NaN"
29,Healia,2022,2,,Surbhi Sarna,https://www.healiahealth.com/,"Priyang Shah, NaN"
30,TrueClaim,2023,2,San Francisco,Gustaf Alstromer,https://www.trytrueclaim.com,"Barbora Howell, Bobby Bayer"
31,CoCrafter,2023,3,"Munich, Germany",Nicolas Dessaigne,https://cocrafter.com/,"Johannes Lutz, Philipp Rollwage"
32,Reform,2023,3,San Francisco,Brad Flora,https://www.reformhq.com,"Saif Abuhashish, Omar Abuhashish"
33,Piramidal,2024,2,San Francisco,Surbhi Sarna,https://piramidal.ai,"Dimitris Fotis Sakellariou, Kris Pahuja"
34,Junction Bioscience,2024,1,San Francisco,Surbhi Sarna,https://www.junction.bio/,"Brian Petkov, NaN"
35,OddsView,2024,5,New York,Jared Friedman,https://oddsview.com,"Davis Tong, Ajay Koritala"
36,SiLogy,2023,3,New York,Brad Flora,https://silogy.io,"Kay Li, Paul Kim"
37,Senso,2017,2,"Toronto, Canada",Tom Blomfield,http://www.senso.ai,"Saroop Bharwani, Thomas Nelson"
38,Eris Biotech,2023,2,"American Fork, UT",Surbhi Sarna,http://www.erisbio.com,"Rachel Garlick, Evita Weagel"
39,Powder,2023,6,"Los Altos, CA",Garry Tan,https://www.powderfi.com/,"Kanishk Parashar, Soo Yung Cho"
40,NaN,2024,2,San Francisco,Dalton Caldwell,https://www.openfoundry.ai/,"Tyler Lehman, Arthur Chi"
41,GoldenBasis,2024,2,San Francisco,Pete Koomen,https://www.goldenbasis.com,"Grant Ackerman, Andrew Wang"
42,Arcane,2023,2,New York,Harj Taggar,https://arcanelabs.ai/,"Rohan Mehta, Lucas Switzer"
43,Somn,2022,2,San Francisco,Gustaf Alstromer,https://somnapp.com,"Shawn Shivdat, Deniz Sert"
44,Magic Hour,2023,2,San Francisco,Michael Seibel,https://magichour.ai,"Runbo Li, David Hu"
45,Ryse,2024,13,New York,Michael Seibel,https://www.rysemarket.com/,"Sean Mitchell, Harsh Yadav"
46,Lumona,2023,3,San Francisco,Michael Seibel,https://www.lumona.ai,"Dylan Walker, Qiong Zhou Huang"
47,Datacurve,2024,3,San Francisco,Garry Tan,https://datacurve.ai/,"Serena Ge, Charley Lee"
48,Marblism,2024,2,,Pete Koomen,https://marblism.com,"Ulric Musset, Cyril Pluche"
49,CommodityAI,2024,3,San Francisco,Brad Flora,https://commodityai.io/,"Philip Koenig, CEO, Daniel Cervoni"
50,Veles,2023,2,"Santa Barbara, CA",Brad Flora,http://www.getveles.com,"Simon Ooley, Patrick Koperwas"
51,Miden,2023,10,"Ikeja, Nigeria",Tom Blomfield,http://www.miden.co,"Okiemute Avworhokai, Ini Udoh"
52,Fluently,2023,2,,Tom Blomfield,https://getfluently.app/,"Yurii Rebryk, Stanislav Beliaev"
53,Basepilot,2024,2,San Francisco,Harj Taggar,https://www.basepilot.com/,"Ken Hendricks, Pascal Wieler"
54,Aqua Voice,2023,3,San Francisco,Michael Seibel,https://withaqua.com,"Finnian Brown, Jack McIntire"
55,Onedoc,2023,3,"Paris, France",Pete Koomen,https://www.onedoclabs.com/,"Pierre Dorge, Titouan Launay"
56,xPay,2024,2,San Francisco,Pete Koomen,https://www.xpaycheckout.com/,"Aniket Gupta, Rakshit Bansal"
57,DeepNight,2023,3,San Francisco,Pete Koomen,https://www.deepnight.ai/,"Lucas Young, Thomas Li"
58,Vista Space,2023,3,San Francisco,Brad Flora,https://govista.space,"Maxim Kraft, Chaitanya Kore"
59,Corefin,2024,2,San Francisco,Michael Seibel,https://corefin.com,"Hubert Tsen, Albert Jo"
60,Ocular AI,2024,2,San Francisco,Michael Seibel,https://useocular.com,"Michael Moyo, Louis Murerwa"
61,Retell AI,2023,5,San Francisco,Michael Seibel,https://retellai.com,"Bing Wu, Todd Li"
62,Rove,2023,2,New York,Tom Blomfield,http://rovecard.com,"Max Morganroth, Arhan Chhabra"
63,camelQA,2023,3,"Austin, TX",Tom Blomfield,https://camelqa.com/,"Illiana Reed, Isabella Reed"
64,NaN,2023,2,,Gustaf Alstromer,https://www.sparkhq.ai,"Julia Wu, Tae Kim"
65,Titan,2018,100,New York,NaN,http://www.titan.com,"Clayton Gardner, Joe Percoco"
66,Terrakotta,2023,3,San Francisco,Brad Flora,https://www.terrakotta.ai/,"Vincent Wilson, Kusiima Boswell"
67,Stacksync,2022,4,San Francisco,Dalton Caldwell,https://www.stacksync.cloud/,"Ruben Burdin, Alexis Favre"
68,Ecliptor,2023,2,San Francisco,Nicolas Dessaigne,https://ecliptor.ai,"Andre Fu, Nanki Grewal"
69,Shepherd,2020,12,San Francisco,Aaron Epstein,https://withshepherd.com,"Mohamed El Mahallawy, Justin Levine"
70,NaN,2023,2,San Francisco,Jared Friedman,https://sonauto.ai/,"Ryan Tremblay, Hayden Housen"
71,BiteSight,2023,2,New York,Pete Koomen,https://flowcode.com/p/m52nqwQV7,"Lucious McDaniel IV, Zac Schulwolf"
72,Velorum Therapeutics,2023,3,San Francisco,Surbhi Sarna,https://www.velorumtx.com/,"Pouya Modareszadeh, Parsa Modareszadeh"
73,Zep AI,2023,3,,Garry Tan,https://www.getzep.com/,"Daniel Chalef, NaN"
74,Openmart,2023,2,,Gustaf Alstromer,https://www.openmart.ai,"Richard He, Kathryn Wu"
