Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
World,703871354,3238.0,7003527,7.0,674782982,20801.0,22084845,35471,90300.0,898.5,-1,-1,-1,All,0.0004600272452627757,9.994963966013125e-05,0.0030826207173078944
USA,111557170,1896.0,1216366,2.0,109298781,14042.0,1042023,1545,333200.0,3633.0,1186765074,3544643,334805269,North America,0.0016995769971576008,0.00016442419469140044,0.012847352798930116
India,45030034,182.0,533491,-1.0,0,0.0,0,0,32013.0,379.0,935879495,665334,1406631776,Asia,0.00040417468927516243,-0.00018744458669405859,
Germany,38821636,-1.0,182601,-1.0,38240600,-1.0,398435,0,462804.0,2177.0,122332384,1458359,83883596,Europe,-2.575883200800708e-06,-0.0005476421268229638,-2.615021730830583e-06
Brazil,38452504,-1.0,709963,-1.0,36249161,-1.0,1493380,0,178555.0,3297.0,63776166,296146,215353593,South America,-2.6006108730916457e-06,-0.00014085241061858152,-2.758684538933191e-06
Japan,33803572,-1.0,74694,-1.0,0,0.0,0,0,269169.0,595.0,100414883,799578,125584838,Asia,-2.958267250573401e-06,-0.0013387956194607332,
Italy,26718411,-1.0,196309,-1.0,26350895,-1.0,171207,51,443365.0,3258.0,280384928,4652706,60262770,Europe,-3.742737545282914e-06,-0.000509400995369545,-3.7949375154050746e-06
UK,24902971,-1.0,232112,-1.0,24666932,5131.0,3927,0,363558.0,3389.0,522526476,7628357,68497907,Europe,-4.015585128376851e-06,-0.0004308264975529055,0.020801127598681506
Russia,23983769,-1.0,402329,-1.0,23397709,-1.0,183731,0,164491.0,2759.0,273400000,1875095,145805947,Europe,-4.169486455610876e-06,-0.0002485528013143472,-4.273922716108658e-06
Turkey,17232066,-1.0,102174,-1.0,0,0.0,0,0,201399.0,1194.0,162743369,1902052,85561976,Asia,-5.803134690872238e-06,-0.0009787225712999394,
Spain,13914811,-1.0,121760,-1.0,13762417,-1.0,30634,231,297840.0,2606.0,471036328,10082298,46719142,Europe,-7.186587011494443e-06,-0.0008212877792378449,-7.2661655289183585e-06
Australia,11823021,806.0,24289,-1.0,11789903,-1.0,8829,12,453532.0,932.0,81916639,3142326,26068792,Australia/Oceania,0.006817208562853775,-0.0041170900407591915,-8.481833989643511e-06
Vietnam,11625195,-1.0,43206,-1.0,10640971,-1.0,941018,-1,117481.0,437.0,85826548,867342,98953541,Asia,-8.602006245916734e-06,-0.002314493357404064,-9.397638617753961e-06
Netherlands,8634822,-1.0,22992,-1.0,8610982,-1.0,848,0,501691.0,1336.0,25984435,1509718,17211447,Europe,-1.1581014640487088e-05,-0.004349338900487126,-1.1613077347043577e-05
